season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2021,Bacone,14,85.098335,115.462238,80.275,11.7905,-16.009957,0,0,0,0,0.001985,0,0.363636,0.149486,0.25641,0.74359,0.121622,0.37037,0.099657,0.012457,0.297297,0.466296,0.38992,0.273346
2021,Bakersfield,5,107.08129,95.176362,66.1,4.870915,10.852743,3,2,3,0,0.511912,0,0.352657,0.196672,0.362878,0.637122,0.271718,0.533626,0.097172,0.045386,0.270411,0.363275,0.341452,0.307019
2021,Ball State,6,105.717166,100.727122,72.76413,8.579762,7.840968,1,3,1,0,0.413357,0,0.342105,0.197183,0.270047,0.729953,0.28685,0.51876,0.075288,0.032864,0.41185,0.380006,0.341154,0.285442
2021,Baylor,1,125.075242,110.087099,70.678125,16.274324,33.387416,15,10,0,0,0.870367,0,0.418212,0.175679,0.353143,0.646857,0.270324,0.548257,0.126748,0.053057,0.391937,0.363458,0.336913,0.32368
2021,Belhaven,16,96.943832,151.909379,87.2,1.753018,-44.046327,0,0,1,0,0.000099,0,0.325,0.206422,0.25,0.75,0.542373,0.608696,0.126147,0,0.677966,0.397373,0.311983,0.271757
2021,Bellarmine,6,114.498633,111.088915,65.2075,1.584813,9.530715,0,1,3,0,0.682895,0,0.374269,0.170226,0.261513,0.738487,0.287546,0.562278,0.10965,0.032205,0.313187,0.409399,0.337939,0.283676
2021,Belmont,4,112.926027,94.98644,72.354167,1.605934,13.773022,0,11,1,0,0.681916,0,0.344346,0.166312,0.246269,0.753731,0.281575,0.611857,0.106882,0.040081,0.43029,0.375536,0.336216,0.305433
2021,Belmont Abbey,5,97.700764,90.459236,78.125,4.859326,11.059537,0,1,0,0,0.867861,0,0.521739,0.256,0.2,0.8,0.258621,0.666667,0.0896,0.0384,0.396552,0.349722,0.324263,0.383822
2021,Benedict,16,65.915225,134.921595,71.7,9.010625,-41.790988,0,0,0,0,0.000043,0,0.242424,0.167364,0.365854,0.634146,0.173913,0.533333,0.013947,0.055788,0.478261,0.402647,0.352113,0.21172
2021,Bethel (TN),16,74.712663,126.651416,76.975,-9.242064,-41.041711,0,0,0,1,0.001022,0,0.176471,0.259825,0.452381,0.547619,0.318182,0.761905,0.012991,0.025982,0.257576,0.355348,0.333333,0.293611
2021,Bethesda,16,73.964364,129.838242,78.016667,8.683853,-36.45212,0,0,4,0,0.001341,0,0.261628,0.234993,0.260586,0.739414,0.209945,0.439834,0.079043,0.01709,0.475138,0.361747,0.340928,0.321891
2021,Binghamton,11,99.0538,105.655335,67.304167,5.191317,-2.050867,0,1,4,0,0.327827,0,0.330508,0.20636,0.299065,0.700935,0.231954,0.462791,0.07429,0.045399,0.454283,0.381942,0.322595,0.3291
2021,Bluefield,12,99.217876,122.184338,67.75,13.579803,-5.219746,0,0,0,0,0.008724,0,0.291667,0.162362,0.16129,0.83871,0.175439,0.44,0.04428,0.02952,0.421053,0.477728,0.390541,0.237573
2021,Bluefield St,15,71.87628,112.017188,78.85,2.44387,-27.355745,0,0,1,0,0.001425,0,0.227273,0.266328,0.225806,0.774194,0.096774,0.333333,0.050729,0,0.354839,0.381112,0.351494,0.336906
2021,Boise St,2,111.992445,98.255002,70.411538,10.807058,19.876917,6,6,0,0,0.497699,0,0.341924,0.163326,0.261572,0.738428,0.34954,0.502165,0.093953,0.041514,0.382392,0.396088,0.343627,0.322348
2021,Boston College,6,105.074405,104.555946,71.96,16.920279,8.610894,2,1,0,0,0.230688,0,0.32967,0.190384,0.282282,0.717718,0.296796,0.46,0.099361,0.053502,0.460371,0.378211,0.341499,0.298234
2021,Boston U,7,105.679857,105.518572,67.866667,9.819705,5.622144,0,6,0,0,0.419854,0,0.318066,0.184185,0.281447,0.718553,0.28599,0.421286,0.079404,0.045842,0.37971,0.357847,0.360023,0.284778
2021,Bowling Green,5,110.004711,103.736165,73.023,7.076987,10.24659,5,2,2,0,0.438227,0,0.321429,0.137491,0.326743,0.673257,0.287004,0.450142,0.099147,0.027936,0.387485,0.381406,0.344881,0.289034
2021,Bradley,5,106.119498,96.143492,67.309821,7.884292,10.54143,2,6,0,0,0.32029,0,0.318408,0.183586,0.274927,0.725073,0.24022,0.519022,0.076406,0.05306,0.368582,0.381617,0.344704,0.288002
2021,Bryant,6,109.659959,102.598345,76.838095,1.500301,9.493352,1,3,4,0,0.589834,0,0.384466,0.197695,0.262722,0.737278,0.350769,0.536946,0.088622,0.047719,0.396154,0.36537,0.319864,0.303392
2021,Bucknell,9,104.311721,104.536015,72.9,4.415356,2.534632,0,1,0,0,0.493807,0,0.329588,0.173754,0.19403,0.80597,0.363104,0.463023,0.080018,0.048011,0.390922,0.337421,0.346193,0.294038
2021,Buffalo,3,111.609319,98.42912,75.065625,7.88605,15.942441,3,6,0,0,0.686282,0,0.338028,0.184838,0.338389,0.661611,0.298311,0.523098,0.106573,0.054397,0.310819,0.389297,0.337962,0.284771
