slot,round_order,round_name,region,team_a,team_b,p_team_a,p_team_b,team_a_win_rate,is_locked,team_b_win_rate,winner
R2_EAST_1,2,Round of 32,EAST,Siena,TCU,0.5664376314695209,0.4335623685304792,0.5743589743589743,False,0.4256410256410257,Siena
R2_EAST_2,2,Round of 32,EAST,Northern Iowa,CA Baptist,0.14996540648729673,0.8500345935127033,0.8385598141695703,False,0.16144018583042974,Northern Iowa
R2_EAST_2,2,Round of 32,EAST,Northern Iowa,Kansas,0.23644061602543634,0.7635593839745637,0.26124197002141325,False,0.7387580299785867,Kansas
R2_EAST_2,2,Round of 32,EAST,St John's,CA Baptist,0.3233558259828946,0.6766441740171054,0.6575284690004217,False,0.3424715309995783,St John's
R2_EAST_2,2,Round of 32,EAST,St John's,Kansas,0.4561594660341166,0.5438405339658834,0.5342044581091469,False,0.46579554189085315,St John's
R2_EAST_3,2,Round of 32,EAST,Louisville,Michigan St,0.274179019837005,0.725820980162995,0.27469266638406103,False,0.725307333615939,Michigan St
R2_EAST_3,2,Round of 32,EAST,Louisville,N Dakota St,0.5283896543510178,0.4716103456489822,0.5226666666666666,False,0.4773333333333334,Louisville
R2_EAST_3,2,Round of 32,EAST,South Florida,Michigan St,0.18461151559690425,0.8153884844030959,0.8207282913165266,False,0.17927170868347342,South Florida
R2_EAST_3,2,Round of 32,EAST,South Florida,N Dakota St,0.40174298044647905,0.598257019553521,0.593952483801296,False,0.40604751619870405,South Florida
R2_EAST_4,2,Round of 32,EAST,UCF,Furman,0.7466726983018569,0.2533273016981431,0.7592105263157894,False,0.24078947368421055,UCF
R2_EAST_4,2,Round of 32,EAST,UCF,UConn,0.5948979306294757,0.4051020693705243,0.618960244648318,False,0.381039755351682,UCF
R2_EAST_4,2,Round of 32,EAST,UCLA,Furman,0.7668561938928105,0.23314380610718966,0.7679180887372014,False,0.23208191126279865,UCLA
R2_EAST_4,2,Round of 32,EAST,UCLA,UConn,0.6210365144839928,0.37896348551600717,0.3650057937427578,False,0.6349942062572422,UConn
R2_MIDWEST_1,2,Round of 32,MIDWEST,Howard,Georgia,0.17370108535609682,0.8262989146439031,0.1488673139158576,False,0.8511326860841424,Georgia
R2_MIDWEST_1,2,Round of 32,MIDWEST,Howard,Saint Louis,0.4338770548053451,0.5661229451946549,0.6288659793814433,False,0.3711340206185567,Howard
R2_MIDWEST_1,2,Round of 32,MIDWEST,Michigan,Georgia,0.5775013412588034,0.42249865874119663,0.577758470894874,False,0.422241529105126,Michigan
R2_MIDWEST_1,2,Round of 32,MIDWEST,Michigan,Saint Louis,0.8328685362199816,0.16713146378001842,0.8375527426160337,False,0.16244725738396626,Michigan
