season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,Montana St,NW Indian,103,63,0,Regular Season,2023-11-07,Montana St,1,,,,,,
2024,USC,Kansas St,82,69,1,Hall of Fame Series - Las Vegas,2023-11-07,,0,,,,,,
2024,Harvard,UMass Boston,78,50,0,Regular Season,2023-11-07,Harvard,1,,,,,,
2024,W Michigan,N Dakota St,76,80,0,Regular Season,2023-11-07,W Michigan,1,,,,,,
2024,California,St Thomas (MN),71,66,0,Regular Season,2023-11-07,California,1,,,,,,
2024,Washington,Bellarmine,91,57,0,Regular Season,2023-11-07,Washington,1,,,,,,
2024,Lamar,Jarvis Chrstn,114,66,0,Regular Season,2023-11-07,Lamar,1,,,,,,
2024,Kansas City,Avila,79,48,0,Regular Season,2023-11-07,Kansas City,1,,,,,,
2024,Omaha,Doane,85,53,0,Regular Season,2023-11-07,Omaha,1,,,,,,
2024,App State,Oakland City,87,49,0,Regular Season,2023-11-07,App State,1,,,,,,
2024,Michigan St,James Madison,76,79,0,Regular Season,2023-11-07,Michigan St,1,,,,,,
2024,Marshall,Queens,89,73,0,Regular Season,2023-11-07,Marshall,1,,,,,,
2024,Old Dominion,Va Wesleyn,71,57,0,Regular Season,2023-11-07,Old Dominion,1,,,,,,
2024,New Mexico,Texas Southern,92,55,0,Regular Season,2023-11-07,New Mexico,1,,,,,,
2024,Notre Dame,Niagara,70,63,0,Regular Season,2023-11-07,Notre Dame,1,,,,,,
2024,Louisville,UMBC,94,93,0,Regular Season,2023-11-07,Louisville,1,,,,,,
2024,NC State,The Citadel,72,59,0,Regular Season,2023-11-07,NC State,1,,,,,,
2024,North Carolina,Radford,86,70,0,Regular Season,2023-11-07,North Carolina,1,,,,,,
2024,Memphis,Jackson St,94,77,0,Regular Season,2023-11-07,Memphis,1,,,,,,
2024,East Carolina,Ferrum,91,61,0,Regular Season,2023-11-07,East Carolina,1,,,,,,
2024,Texas,Incarnate Word,88,56,0,Regular Season,2023-11-07,Texas,1,,,,,,
2024,George Mason,Monmouth,72,61,0,Regular Season,2023-11-07,George Mason,1,,,,,,
2024,Clemson,Winthrop,78,56,0,Regular Season,2023-11-07,Clemson,1,,,,,,
2024,Louisiana,Youngstown St,72,62,0,Regular Season,2023-11-07,Louisiana,1,,,,,,
2024,Vermont,Merrimack,67,55,0,Regular Season,2023-11-07,Vermont,1,,,,,,
2024,Portland,Long Beach St,78,73,0,Regular Season,2023-11-07,Portland,1,,,,,,
2024,Virginia Tech,Coppin St,100,55,0,Regular Season,2023-11-07,Virginia Tech,1,,,,,,
2024,North Florida,Coastal GA,92,55,0,Regular Season,2023-11-07,North Florida,1,,,,,,
2024,Oklahoma,C Michigan,89,59,0,Regular Season,2023-11-07,Oklahoma,1,,,,,,
2024,Villanova,American,90,63,0,Regular Season,2023-11-07,Villanova,1,,,,,,
2024,Liberty,Mid Atl Chrstn,103,43,0,Regular Season,2023-11-07,Liberty,1,,,,,,
2024,Army,Marist,55,71,0,Regular Season,2023-11-07,Army,1,,,,,,
2024,LSU,Miss Valley St,106,60,0,Regular Season,2023-11-07,LSU,1,,,,,,
2024,Wisconsin,Arkansas St,105,76,0,Regular Season,2023-11-07,Wisconsin,1,,,,,,
2024,Tulane,Nicholls,91,81,0,Regular Season,2023-11-07,Tulane,1,,,,,,
2024,Grand Canyon,SE Missouri,88,67,0,Regular Season,2023-11-07,Grand Canyon,1,,,,,,
2024,Utah Valley,Carroll (MT),81,73,0,Regular Season,2023-11-07,Utah Valley,1,,,,,,
2024,Illinois,E Illinois,80,52,0,Regular Season,2023-11-07,Illinois,1,,,,,,
2024,Fordham,Wagner,68,64,0,Regular Season,2023-11-07,Fordham,1,,,,,,
2024,Rhode Island,C Connecticut,81,70,0,Regular Season,2023-11-07,Rhode Island,1,,,,,,
2024,North Alabama,Blue Mountain,93,60,0,Regular Season,2023-11-07,North Alabama,1,,,,,,
2024,Seton Hall,Saint Peter's,70,59,0,Regular Season,2023-11-07,Seton Hall,1,,,,,,
2024,Colorado,Towson,75,57,0,Regular Season,2023-11-07,Colorado,1,,,,,,
2024,MTSU,N Kentucky,74,57,0,Regular Season,2023-11-07,MTSU,1,,,,,,
2024,Rutgers,Princeton,61,68,1,Regular Season,2023-11-07,,0,,,,,,
2024,Yale,Vassar,102,53,0,Regular Season,2023-11-07,Yale,1,,,,,,
2024,UAB,Bradley,71,73,0,Regular Season,2023-11-07,UAB,1,,,,,,
2024,Evansville,Miami OH,72,64,0,Regular Season,2023-11-07,Evansville,1,,,,,,
